"speciesid","population","season","mean.emergence","median.emergence","q1","q3","first","last","sd","run"
1,150,-1,0,0,0,0,0,0,0,15
2,150,-1,0,0,0,0,0,0,0,15
3,150,-1,0,0,0,0,0,0,0,15
4,150,-1,0,0,0,0,0,0,0,15
5,150,-1,0,0,0,0,0,0,0,15
6,150,-1,0,0,0,0,0,0,0,15
7,150,-1,0,0,0,0,0,0,0,15
8,150,-1,0,0,0,0,0,0,0,15
9,150,-1,0,0,0,0,0,0,0,15
10,150,-1,0,0,0,0,0,0,0,15
11,150,-1,0,0,0,0,0,0,0,15
12,150,-1,0,0,0,0,0,0,0,15
13,150,-1,0,0,0,0,0,0,0,15
14,150,-1,0,0,0,0,0,0,0,15
15,150,-1,0,0,0,0,0,0,0,15
16,150,-1,0,0,0,0,0,0,0,15
17,150,-1,0,0,0,0,0,0,0,15
18,150,-1,0,0,0,0,0,0,0,15
19,150,-1,0,0,0,0,0,0,0,15
20,150,-1,0,0,0,0,0,0,0,15
1,79,0,116.620253164557,116,112,121,108.8,126.2,6.79046049846694,15
2,58,0,141.431034482759,141,139.25,143,136.85,148.3,3.88479749055851,15
3,75,0,114.32,114,110,116.5,106.7,125.6,6.16037906871568,15
4,60,0,103.166666666667,104,101,106,97.95,107.1,3.58512305850619,15
5,62,0,133.596774193548,133,130.25,136,124.05,143.95,6.30757982066634,15
6,62,0,102.693548387097,103,100,105,96,109,4.47795587761677,15
7,67,0,103.149253731343,104,100,108,90.6,111.7,6.70199818991883,15
8,66,0,109.363636363636,109,106.25,111,103,117.75,5.49023290422705,15
9,65,0,92.5846153846154,91,89,95,85.2,102.8,4.88586068317391,15
10,72,0,129.569444444444,131,126,135,113.1,139,7.79639929329765,15
11,65,0,112.184615384615,111,108,116,102.2,124,7.49977563766974,15
12,81,0,130.506172839506,131,128,133,122,137,4.2134411613019,15
13,70,0,118.4,119,117,121,110,124,4.36189029625021,15
14,55,0,131.036363636364,131,129,134,122.4,137.9,4.68632224261373,15
15,75,0,111.933333333333,113,110,115,104.4,117,3.93986326190675,15
16,54,0,122.314814814815,121,119,125,117,129.7,4.42046729397864,15
17,72,0,146.388888888889,146.5,144,148,140.55,152.45,4.10274918325747,15
18,69,0,92.3333333333333,93,90,94,86.4,98,3.6608688564757,15
19,73,0,142.013698630137,141,140,144,136.8,150.4,4.18161701406994,15
20,70,0,109.071428571429,109,107.25,111,99.45,116,4.63234197059168,15
1,98,1,117.132653061224,115.5,112,121,109,128.3,6.73295902398038,15
2,27,1,141.37037037037,141,140,143,136.3,147.4,3.6600562012094,15
3,99,1,114.262626262626,113,111,116.5,108,126,5.24615672462263,15
4,55,1,103.872727272727,104,100.5,107,98,109.3,4.25159902578951,15
5,74,1,132.932432432432,133,129,136,125,141.7,5.36179044181581,15
6,71,1,102.760563380282,102,100,105,96.5,110.5,4.62127004414647,15
7,57,1,104.228070175439,105,101,108,92.8,113.2,6.54112687937868,15
8,101,1,109.039603960396,109,106,112,102,116,4.83305450430514,15
9,115,1,91.7304347826087,91,89,94,84.7,100,4.62889805220713,15
10,85,1,131.423529411765,133,126,137,116,142,8.38986984204085,15
11,117,1,111.230769230769,110,106,115,101,127,8.01010634845305,15
12,111,1,130.072072072072,130,128,132,124,135.5,3.54378254953584,15
13,23,1,118.217391304348,119,115.5,120.5,107.4,127.7,5.75212626093509,15
14,17,1,131.647058823529,132,129,135,124.6,137,4.45731388381204,15
15,55,1,111.563636363636,112,109,115,100,120.6,5.65935356982428,15
16,102,1,122.392156862745,122,120,124,116.05,129.95,4.28942254819138,15
17,92,1,145.869565217391,145.5,144,148,141,151,3.34538353820275,15
18,66,1,92.3636363636364,92,90,94.75,87,98.75,3.94826685886494,15
19,113,1,142.088495575221,142,139,144,136.6,148,3.70221343572206,15
20,78,1,108.717948717949,109,106,112,100.85,115.15,4.2667467941194,15
1,98,2,118.244897959184,117,114,122,108.85,130.3,6.95057844435482,15
2,5,2,142.2,141,141,142,141,145.2,2.16794833886788,15
3,94,2,113.86170212766,113,110,117,107,124,5.56602803077296,15
4,40,2,104.125,103,101.75,106.25,99.85,111.05,3.82426463519459,15
5,74,2,132.959459459459,132,130,135,126,142.7,5.08405832174277,15
6,69,2,102.63768115942,103,99,105,95.4,110,4.44896225339571,15
7,36,2,101.444444444444,103,99,107.25,82,113.25,9.78174522682633,15
8,130,2,109.792307692308,110,107,112,100.45,118,5.42845810741608,15
9,148,2,91.7837837837838,91,89,94,86,99,4.30083133957098,15
10,70,2,129.757142857143,130,126.25,135,114.25,140,8.29079411641281,15
11,123,2,111.252032520325,111,105,115,100,127.9,8.16991030303207,15
12,135,2,130.851851851852,131,129,133,125.7,136.3,3.54611100523805,15
13,6,2,117,117.5,113.5,120.75,112.25,121,4.14728827066554,15
14,6,2,132.333333333333,133,130.5,134,130,134,1.96638416050035,15
