"speciesid","active","dead","hunger","maturity","x_loc","y_loc","emergence","interactions","midpoint","scale","skew","midpoint.sensitivity","scale.sensitivity","skew.sensitivity","generalism","lifespan","efficacy","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","season","run"
25,0,0,0,0,0,0,0,11,137.427154406905,-0.538533857557923,1.44975839206018,7.24406164077179,0.00516530085820705,0.0266534655098803,1,29,0.0706063228053972,1,0,1,1,1,0,0,0,1,0,1,0,0,0,1,0,1,1,1,1,-1,17
26,0,0,0,0,0,0,0,5,103.133041318506,0.409685743669979,1.73947147093713,-9.94520362388426,-0.00465823845239356,0.0272854093904607,0,27,0.0748562404303812,0,1,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,-1,17
27,0,0,0,0,0,0,0,3,138.603065572679,0.309271140745841,1.9352707255166,-4.73246069928134,-0.00174757022410631,0.0218573281285353,0,39,0.0254157241736539,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,-1,17
28,0,0,0,0,0,0,0,1,102.165179997683,0.545249903993681,1.88209500676021,-12.0290200330868,0.00322255885112099,0.00649867942323908,0,40,0.0905996137019247,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,-1,17
29,0,0,0,0,0,0,0,2,120.362701839767,-0.43115919646807,1.60039688413963,10.9450088673611,0.000255208886228502,0.0219021580275148,0,34,0.065300060599111,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,-1,17
30,0,0,0,0,0,0,0,7,121.240078504197,0.54628212202806,1.42948399437591,-11.9089783435015,0.00113571862573735,0.0093306153989397,1,33,0.0428702315245755,0,1,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,1,1,0,-1,17
1,0,0,0,0,12,32,143,18,141.41247424297,-0.404168542264961,1.21378600783646,1.63794433821138,0.000768737813923508,0.012841709968634,1,41,0.068727998402901,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,17
2,0,0,0,0,47,35,105,3,106.540154591203,0.360914403665811,1.28910970222205,-5.00713341090227,0.0053840811457485,-0.00930323356529698,0,32,0.0404789488762617,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,17
3,0,0,0,0,35,20,125,4,123.271450591274,0.363748050900176,1.44188998802565,-10.436058739944,-0.00277215646230616,0.0232264494965784,0,42,0.0865697060525417,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,17
4,0,0,0,0,11,35,142,6,142.616628594697,-0.568109256145544,1.71234036795795,-8.86047316369593,0.00446006854297593,-0.00782024117885157,1,39,0.0349792427383363,0,0,0,0,0,0,0,1,0,1,0,1,0,1,1,0,0,0,1,0,0,17
5,0,0,0,0,28,27,105,3,97.1283228462562,0.420505238324404,1.69144993694499,-0.915686486191255,-0.00334847497055307,-0.000602608595509082,0,41,0.0292868710542098,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,17
6,0,0,0,0,42,9,124,5,122.804240374826,-0.32533461113926,1.03653303044848,-1.81313348464797,-0.000415165657177568,0.0194750041444786,0,37,0.0190645014774054,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,17
7,0,0,0,0,37,48,104,1,103.965192264877,-0.344477499788627,1.70423313300125,-10.5119256143227,-0.00040258378139697,0.0319746910221875,0,32,0.034525446081534,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,17
8,0,0,0,0,17,12,133,2,126.13606704399,0.41108438456431,1.05874260235578,-1.17932940281844,0.000331835385877639,0.0314579899865203,0,34,0.0638637645565905,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,17
9,0,0,0,0,9,11,129,20,132.752346354537,0.558353286492638,1.07452223659493,7.33542102496834,-0.00116955306031741,0.0305701359501109,1,33,0.0162992095714435,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,17
10,0,0,0,0,8,41,127,19,128.934216080233,-0.55100453956984,1.00044957455248,-3.6063645009817,0.00901457453379408,0.0391251234896481,1,32,0.0416760022891685,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,17
11,0,0,0,0,37,1,104,11,101.253744964488,0.522164115286432,1.72090162802488,-0.248059799017545,0.0085436969762668,0.000263650643173605,1,29,0.0805781865073368,1,0,1,0,1,0,0,0,0,1,1,1,1,0,1,0,1,1,0,1,0,17
12,0,0,0,0,9,33,99,4,104.30357335601,0.595729740452953,1.56147958920337,3.57796013347235,0.00220315452199429,0.00336126999231055,0,34,0.08129871198209,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,17
13,0,0,0,0,49,21,114,2,94.2232255171984,-0.309624546580017,1.66407183394767,-2.80564769656325,-0.000939879071665928,0.018789042623248,0,30,0.0755540296575055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,17
14,0,0,0,0,42,5,98,11,97.1690472587943,-0.453655227972195,1.35769505077042,-7.47874637471387,0.00874715173267759,0.0327103354013525,1,27,0.0455362974759191,1,0,1,1,1,0,0,0,0,0,1,1,1,1,1,0,0,1,1,0,0,17
15,0,0,0,0,21,43,129,2,127.087167995051,-0.469512657914311,1.66008409438655,-1.37236949354549,-0.0037893380119931,0.00368715260177851,0,37,0.0117919085524045,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,17
16,0,0,0,0,10,9,97,4,100.10914276354,-0.364822540129535,1.00747301476076,11.5983673668224,0.00509889699751511,-0.00746971786953509,0,28,0.0922756693488918,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,17
17,0,0,0,0,45,5,89,17,98.7586519075558,0.493050984176807,1.96033663582057,-0.94687077919571,0.00236265816143714,0.0268326222291216,1,30,0.0851377962180413,1,1,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,0,17
18,0,0,0,0,40,26,99,12,101.382815097459,0.488272850518115,1.63173962128349,-1.94709973011669,0.00159206847310998,0.0299910663603805,1,27,0.0672300400724635,1,0,1,1,1,0,0,0,0,1,0,1,1,1,1,0,0,1,1,1,0,17
19,0,0,0,0,39,51,124,10,124.529671180062,-0.39998547763098,1.19829043513164,-2.83589572333992,0.00866261039744131,-0.00671925356378779,1,40,0.0277861420018598,1,0,1,0,1,0,1,0,1,1,0,1,1,0,0,1,0,0,0,1,0,17
20,0,0,0,0,32,20,91,11,90.0112904096022,0.356760377297178,1.26093912799843,-7.03641237003943,0.00403443686547689,0.00498132559936494,1,34,0.0669898945232853,1,1,0,0,1,1,0,0,1,1,1,0,1,0,0,0,0,1,1,1,0,17
21,0,0,0,0,13,37,112,2,109.699697261676,-0.36556504459586,1.68565211840905,-3.27000236146708,-0.0043828008021228,0.0261445004935376,0,37,0.0742812000471167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,17
22,0,0,0,0,28,34,79,3,94.6966821234673,0.474870929145254,1.96570572815835,-0.00822996708595802,-0.00419680843828246,0.0162729284935631,0,38,0.090936362487264,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,17
23,0,0,0,0,46,37,129,2,126.250330517069,-0.503426827909425,1.03700199816376,-13.3460533649703,-0.00216620558639988,0.0083484970475547,0,34,0.0968048917688429,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,17
24,0,0,0,0,26,39,108,10,109.607943333685,-0.468007540726103,1.03239361871965,1.52013153010279,-0.00466593650402501,0.00607242040336132,1,45,0.0423389647714794,0,1,0,1,1,0,1,1,0,0,1,1,0,1,0,1,0,1,0,0,0,17
