"speciesid","population","season","mean.emergence","q1","q3","first","last","run"
1,150,-1,0,0,0,NA,NA,17
2,150,-1,0,0,0,NA,NA,17
3,150,-1,0,0,0,NA,NA,17
4,150,-1,0,0,0,NA,NA,17
5,150,-1,0,0,0,NA,NA,17
6,150,-1,0,0,0,NA,NA,17
7,150,-1,0,0,0,NA,NA,17
8,150,-1,0,0,0,NA,NA,17
9,150,-1,0,0,0,NA,NA,17
10,150,-1,0,0,0,NA,NA,17
11,150,-1,0,0,0,NA,NA,17
12,150,-1,0,0,0,NA,NA,17
13,150,-1,0,0,0,NA,NA,17
14,150,-1,0,0,0,NA,NA,17
15,150,-1,0,0,0,NA,NA,17
16,150,-1,0,0,0,NA,NA,17
17,150,-1,0,0,0,NA,NA,17
18,150,-1,0,0,0,NA,NA,17
19,150,-1,0,0,0,NA,NA,17
20,150,-1,0,0,0,NA,NA,17
21,150,-1,0,0,0,NA,NA,17
22,150,-1,0,0,0,NA,NA,17
23,150,-1,0,0,0,NA,NA,17
24,150,-1,0,0,0,NA,NA,17
25,150,-1,0,0,0,NA,NA,17
26,150,-1,0,0,0,NA,NA,17
27,150,-1,0,0,0,NA,NA,17
28,150,-1,0,0,0,NA,NA,17
29,150,-1,0,0,0,NA,NA,17
30,150,-1,0,0,0,NA,NA,17
1,150,0,142.04,140,144,133,150,17
2,150,0,105.473333333333,103,109,96,113.55,17
3,150,0,121.686666666667,118,125,112.45,131,17
4,150,0,144.153333333333,142,146,139,151,17
5,150,0,95,92,98,87,102.55,17
6,150,0,123.36,119,127,115,133,17
7,150,0,107.38,103,111,97.45,120,17
8,150,0,126.24,124,129,118.45,133,17
9,150,0,132.5,130,134.75,127.45,138,17
10,150,0,128.906666666667,127,131,123.45,134,17
11,150,0,99.2133333333333,97,102,89.9,105,17
12,150,0,103.106666666667,101,105.75,97,110,17
13,150,0,97.3266666666667,93,101,86.45,111.1,17
14,150,0,98.3666666666667,96,100,92,107,17
15,150,0,129.02,126,132,122,137.55,17
16,150,0,100.326666666667,97,103,93.45,107,17
17,150,0,96.2,94,99,89,104,17
18,150,0,99.48,96.25,102.75,91.45,106.55,17
19,150,0,124.873333333333,123,127,119,133.55,17
20,150,0,89.4466666666667,86,93,80,98.55,17
21,150,0,112.353333333333,109,115,102,125,17
22,150,0,91.8666666666667,89,96,83,100,17
23,150,0,126.38,125,128,120,132,17
24,150,0,109.693333333333,107,112,105,115,17
25,150,0,138.48,136,140,132.45,145.55,17
26,150,0,100.693333333333,98,104.75,92,110,17
