"speciesid","population","season","mean.emergence","median.emergence","q1","q3","first","last","sd","run","type"
1,150,-1,0,0,0,0,0,0,0,20,"skew"
2,150,-1,0,0,0,0,0,0,0,20,"skew"
3,150,-1,0,0,0,0,0,0,0,20,"skew"
4,150,-1,0,0,0,0,0,0,0,20,"skew"
5,150,-1,0,0,0,0,0,0,0,20,"skew"
6,150,-1,0,0,0,0,0,0,0,20,"skew"
7,150,-1,0,0,0,0,0,0,0,20,"skew"
8,150,-1,0,0,0,0,0,0,0,20,"skew"
9,150,-1,0,0,0,0,0,0,0,20,"skew"
10,150,-1,0,0,0,0,0,0,0,20,"skew"
11,150,-1,0,0,0,0,0,0,0,20,"skew"
12,150,-1,0,0,0,0,0,0,0,20,"skew"
13,150,-1,0,0,0,0,0,0,0,20,"skew"
14,150,-1,0,0,0,0,0,0,0,20,"skew"
15,150,-1,0,0,0,0,0,0,0,20,"skew"
16,150,-1,0,0,0,0,0,0,0,20,"skew"
17,150,-1,0,0,0,0,0,0,0,20,"skew"
18,150,-1,0,0,0,0,0,0,0,20,"skew"
19,150,-1,0,0,0,0,0,0,0,20,"skew"
20,150,-1,0,0,0,0,0,0,0,20,"skew"
1,61,0,147.819672131148,148,145,151,142,156,4.41402385102041,20,"skew"
2,66,0,139.606060606061,139,135.25,142.75,130.5,150,6.85650457679823,20,"skew"
3,64,0,138.625,138,135,142,130,148.85,5.60187043593052,20,"skew"
4,64,0,149.828125,150,147,152.25,143,156,4.14634927395019,20,"skew"
5,64,0,117.015625,117,114,119.25,110.15,123.7,4.68869693713018,20,"skew"
6,64,0,103.640625,104,101.75,107,94.3,110,5.68866092285681,20,"skew"
7,76,0,126.407894736842,126,122,130.25,117.75,135.5,6.04246667419622,20,"skew"
8,72,0,149.430555555556,150,147,152,142,156.9,4.64765998637839,20,"skew"
9,69,0,102.579710144928,102,100,105,97.4,108,3.70772562718889,20,"skew"
10,74,0,139.621621621622,140,136.25,143.75,131.65,146.7,4.94823256865507,20,"skew"
11,69,0,113.710144927536,113,109,118,103.4,128,7.34867224757075,20,"skew"
12,75,0,101.16,102,96,106,87.4,111.3,7.7547544265577,20,"skew"
13,64,0,134.78125,135.5,131,137.25,127.15,141.85,4.44175265707881,20,"skew"
14,72,0,121.513888888889,122,118,125,111.55,131,6.05605983456858,20,"skew"
15,66,0,140.590909090909,140,138.25,143,135.25,146.75,3.69189245916914,20,"skew"
16,61,0,131.426229508197,131,128,135,125,140,5.31807927856616,20,"skew"
17,67,0,114.537313432836,115,111,118.5,104.6,121.7,5.27523763132411,20,"skew"
18,69,0,94.6231884057971,94,92,98,86.4,103.2,5.03546670912311,20,"skew"
19,62,0,111.725806451613,112,109.25,114,106,117,3.59037581867163,20,"skew"
20,68,0,120.838235294118,121,119,123,115,126.65,3.46242212744005,20,"skew"
1,49,1,146.69387755102,147,145,149,138.8,153.6,4.77058732247514,20,"skew"
2,15,1,139.266666666667,139,135.5,142.5,127.7,151.8,7.66687370320865,20,"skew"
3,1,1,146,146,146,146,146,146,NA,20,"skew"
4,35,1,151.257142857143,151,148,155,143.8,160.3,5.72580771154427,20,"skew"
5,87,1,116.862068965517,117,114,119,109.3,123.7,4.7377072607129,20,"skew"
