"speciesid","population","season","mean.emergence","median.emergence","q1","q3","first","last","sd","run","type"
1,150,-1,0,0,0,0,0,0,0,17,"mid"
2,150,-1,0,0,0,0,0,0,0,17,"mid"
3,150,-1,0,0,0,0,0,0,0,17,"mid"
4,150,-1,0,0,0,0,0,0,0,17,"mid"
5,150,-1,0,0,0,0,0,0,0,17,"mid"
6,150,-1,0,0,0,0,0,0,0,17,"mid"
7,150,-1,0,0,0,0,0,0,0,17,"mid"
8,150,-1,0,0,0,0,0,0,0,17,"mid"
9,150,-1,0,0,0,0,0,0,0,17,"mid"
10,150,-1,0,0,0,0,0,0,0,17,"mid"
11,150,-1,0,0,0,0,0,0,0,17,"mid"
12,150,-1,0,0,0,0,0,0,0,17,"mid"
13,150,-1,0,0,0,0,0,0,0,17,"mid"
14,150,-1,0,0,0,0,0,0,0,17,"mid"
15,150,-1,0,0,0,0,0,0,0,17,"mid"
16,150,-1,0,0,0,0,0,0,0,17,"mid"
17,150,-1,0,0,0,0,0,0,0,17,"mid"
18,150,-1,0,0,0,0,0,0,0,17,"mid"
19,150,-1,0,0,0,0,0,0,0,17,"mid"
20,150,-1,0,0,0,0,0,0,0,17,"mid"
21,150,-1,0,0,0,0,0,0,0,17,"mid"
22,150,-1,0,0,0,0,0,0,0,17,"mid"
23,150,-1,0,0,0,0,0,0,0,17,"mid"
24,150,-1,0,0,0,0,0,0,0,17,"mid"
25,150,-1,0,0,0,0,0,0,0,17,"mid"
26,150,-1,0,0,0,0,0,0,0,17,"mid"
27,150,-1,0,0,0,0,0,0,0,17,"mid"
28,150,-1,0,0,0,0,0,0,0,17,"mid"
29,150,-1,0,0,0,0,0,0,0,17,"mid"
30,150,-1,0,0,0,0,0,0,0,17,"mid"
1,150,0,142.04,142,140,144,133,150,4.66297712890574,17,"mid"
2,150,0,105.473333333333,106,103,109,96,113.55,5.86159914349452,17,"mid"
3,150,0,121.686666666667,122,118,125,112.45,131,5.78720721400293,17,"mid"
4,150,0,144.153333333333,144,142,146,139,151,3.60040390475915,17,"mid"
5,150,0,95,95,92,98,87,102.55,4.9071923655744,17,"mid"
6,150,0,123.36,124,119,127,115,133,5.93282304318484,17,"mid"
7,150,0,107.38,106.5,103,111,97.45,120,7.01931180779381,17,"mid"
8,150,0,126.24,126.5,124,129,118.45,133,4.29715060891571,17,"mid"
9,150,0,132.5,132,130,134.75,127.45,138,3.3812550785234,17,"mid"
10,150,0,128.906666666667,129,127,131,123.45,134,3.19468238260505,17,"mid"
11,150,0,99.2133333333333,100,97,102,89.9,105,4.73114295350843,17,"mid"
12,150,0,103.106666666667,103,101,105.75,97,110,3.92402113073463,17,"mid"
13,150,0,97.3266666666667,97,93,101,86.45,111.1,7.62061551061503,17,"mid"
14,150,0,98.3666666666667,98,96,100,92,107,4.32165868397316,17,"mid"
15,150,0,129.02,129,126,132,122,137.55,4.81534181325931,17,"mid"
16,150,0,100.326666666667,101,97,103,93.45,107,4.92289087692686,17,"mid"
17,150,0,96.2,97,94,99,89,104,4.9778030786616,17,"mid"
18,150,0,99.48,100,96.25,102.75,91.45,106.55,4.85593803792716,17,"mid"
19,150,0,124.873333333333,125,123,127,119,133.55,4.13415413658658,17,"mid"
20,150,0,89.4466666666667,89.5,86,93,80,98.55,5.64323752414472,17,"mid"
21,150,0,112.353333333333,112,109,115,102,125,6.93027272836253,17,"mid"
22,150,0,91.8666666666667,92,89,96,83,100,5.41519942268722,17,"mid"
23,150,0,126.38,126,125,128,120,132,3.5173014366092,17,"mid"
24,150,0,109.693333333333,110,107,112,105,115,3.27681844933285,17,"mid"
25,150,0,138.48,138,136,140,132.45,145.55,3.98271432854765,17,"mid"
26,150,0,100.693333333333,101,98,104.75,92,110,5.89499465382964,17,"mid"
27,150,0,134.28,136,130,140,118,146,8.75706426244802,17,"mid"
28,150,0,99.78,101,98,103,91,105.55,5.08566877073582,17,"mid"
29,150,0,121.953333333333,122,119,124,115,130,5.0849648975139,17,"mid"
30,150,0,119.68,120,118,122,112.45,125,3.47052787892408,17,"mid"
1,300,1,142.59,143,140,145,135,150,4.87727993165992,17,"mid"
2,96,1,105.5,106,102.75,109,96,113.25,5.22141340009933,17,"mid"
3,116,1,121.698275862069,122,118,125,111,131.25,6.15907930384603,17,"mid"
4,228,1,144.276315789474,144,141,147,138,151,4.13728725594002,17,"mid"
5,56,1,94.7678571428571,95,92,98,86.75,102.25,4.93223560385633,17,"mid"
6,174,1,122.850574712644,123,120,126,115,132,5.22339941052761,17,"mid"
7,18,1,106.555555555556,105,101.75,110.75,97.4,114.8,7.25357698552702,17,"mid"
8,34,1,127.676470588235,127,124.25,130.5,121.3,139.35,5.61232727741404,17,"mid"
9,300,1,132.526666666667,133,130,135,127,138,3.47026868865516,17,"mid"
10,300,1,129.11,129,127,131,124,134,3.06963224840831,17,"mid"
11,296,1,99.3412162162162,99,97,102,93,106,4.15077577481043,17,"mid"
12,134,1,102.716417910448,103,101,105,95.65,109,3.96907583853063,17,"mid"
13,46,1,97.2826086956522,97,94.25,100,85.25,109.75,7.25921037480665,17,"mid"
14,292,1,98.486301369863,98,96,101,91.55,107,4.47864164079521,17,"mid"
15,24,1,128.666666666667,128,124,133,120.3,139.25,6.23919355621254,17,"mid"
16,152,1,100.105263157895,100,97,103,92,108,4.94627814421694,17,"mid"
17,300,1,96.05,97,94,99,86,102,5.07411623028037,17,"mid"
18,298,1,99.5704697986577,100,97,102,91,106.15,4.58772338302476,17,"mid"
19,284,1,125.397887323944,125,122,128,118,134.85,5.30685227165743,17,"mid"
20,294,1,88.5612244897959,89,85,92,79,97,5.6394508601494,17,"mid"
21,36,1,112.166666666667,111,109,115,105,123,5.52138698930932,17,"mid"
22,82,1,92.6585365853659,93,90,95.75,86,99,4.46721807595635,17,"mid"
23,26,1,125.346153846154,126,122.25,127,120,130.75,3.87754878955567,17,"mid"
24,284,1,110.080985915493,110,107,112,104.15,118,3.83914067789619,17,"mid"
25,296,1,138.587837837838,138,136,141,133,146,3.87854429105587,17,"mid"
26,198,1,100.80303030303,101,98,104,91.85,108.15,5.41633090909737,17,"mid"
27,78,1,135.051282051282,135.5,131,140,121.4,146.15,8.20183292136967,17,"mid"
28,2,1,103.5,103.5,102.75,104.25,102.15,104.85,2.12132034355964,17,"mid"
29,34,1,122.617647058824,122,119,125.75,115,132.35,5.05733614083093,17,"mid"
30,230,1,120.460869565217,121,118,123,114,125,3.72243747096853,17,"mid"
1,600,2,142.28,142,139,145,135,151,4.87351878100906,17,"mid"
2,64,2,105.15625,106,102.75,109,94.3,115.4,6.45428060245587,17,"mid"
3,68,2,121.147058823529,122,117.75,125,110.35,129.65,5.84441232284934,17,"mid"
4,304,2,144.470394736842,144,142,147,138,151.85,4.06048882286755,17,"mid"
5,22,2,97.1818181818182,97.5,93.25,100.75,90.05,104.85,4.70699948543062,17,"mid"
6,124,2,123.185483870968,123,120,127,114.15,132.85,5.54269010365036,17,"mid"
7,4,2,110.75,107.5,105.25,113,103.45,122.6,9.81070843517429,17,"mid"
8,2,2,130.5,130.5,130.25,130.75,130.05,130.95,0.707106781186548,17,"mid"
9,600,2,132.346666666667,132,131,134,127,137,3.19951304029962,17,"mid"
10,600,2,128.946666666667,129,127,131,124,134,3.34900711205823,17,"mid"
11,578,2,99.4204152249135,100,97,102,92,106,4.51971209270528,17,"mid"
12,194,2,103.025773195876,103,101,105,96,109.35,3.8311993914842,17,"mid"
13,26,2,97.8846153846154,93.5,91,103.25,87.5,115.75,9.70495511819369,17,"mid"
14,584,2,98.1404109589041,98,95,101,91,105.85,4.50166470092305,17,"mid"
15,8,2,132.125,132,129.75,134.75,126.4,137.65,4.2573465914816,17,"mid"
16,90,2,100.1,100,97,103,92.45,107.55,4.92425777216644,17,"mid"
17,600,2,96.315,97,93,100,87,103,5.33164944549834,17,"mid"
18,594,2,99.2239057239057,100,97,102,90,106,4.87538134258403,17,"mid"
19,498,2,125.170682730924,125,122,128,118,134,4.69095022568585,17,"mid"
20,572,2,88.722027972028,89,86,92,79.55,97,5.45621040257656,17,"mid"
21,26,2,112.115384615385,112,107,115,105,118.75,5.450335204935,17,"mid"
22,12,2,93.75,92.5,91.5,97,89.1,98.9,3.7446932147677,17,"mid"
23,10,2,126.3,125,123.25,130.75,120.35,133.1,4.90011337737313,17,"mid"
24,542,2,109.577490774908,110,107,112,103,116,4.11261199555436,17,"mid"
25,592,2,138.893581081081,138,136,141,133,146,4.14057051745249,17,"mid"
26,228,2,99.8070175438596,101,97,103,89.7,108,6.20767919061637,17,"mid"
27,26,2,135,136,133,139.75,123.25,141.75,6.15792172733626,17,"mid"
29,4,2,125,127,125,127,120.2,127,4,17,"mid"
30,394,2,119.89847715736,120,118,122,112,126,4.30158828773592,17,"mid"
1,1198,3,142.242070116861,142,139,145,135,150.15,4.90220141043078,17,"mid"
2,46,3,105.913043478261,105.5,102.25,108,94.5,119.5,7.11750919901532,17,"mid"
3,22,3,120.818181818182,121,118,124.75,113,127,4.99176811538246,17,"mid"
4,334,3,144.27245508982,144,141,147,138,151,4.2192916683564,17,"mid"
5,8,3,95.125,97,93,98.25,85.45,101.6,6.17454451761423,17,"mid"
6,68,3,123.897058823529,124,120,128,114.35,131,5.36750784574183,17,"mid"
9,1200,3,132.53,133,131,135,127,138,3.22559095839182,17,"mid"
10,1198,3,128.899833055092,129,127,131,123,134,3.37665828768948,17,"mid"
11,1100,3,99.2845454545455,100,97,102,91,106,4.51344541466116,17,"mid"
12,248,3,103.229838709677,103,101,106,96.35,108.65,3.54148302243165,17,"mid"
13,12,3,93.75,95,93.5,97,84.1,98.45,4.95663008688179,17,"mid"
14,1156,3,98.6989619377163,99,96,101,92,107,4.58127553216136,17,"mid"
16,48,3,100.770833333333,101,99,103,93,107.65,4.12176156997422,17,"mid"
17,1200,3,96.1175,97,93,99,87,103,5.16794125005016,17,"mid"
18,1152,3,99.3784722222222,100,97,102,91,106,4.9151785434418,17,"mid"
19,610,3,125.160655737705,125,122,128,117,133,4.86099987310701,17,"mid"
20,1030,3,88.9106796116505,89,86,92,79,97,5.48607057766852,17,"mid"
21,10,3,111.3,112,108.75,114.5,102.35,118.75,5.81282107834818,17,"mid"
23,2,3,124.5,124.5,124.25,124.75,124.05,124.95,0.707106781186548,17,"mid"
24,964,3,109.835062240664,110,108,112,103,116,3.91508716030149,17,"mid"
25,1164,3,138.549828178694,138,136,141,133,145,3.826201693972,17,"mid"
26,128,3,100.1875,101,97,104,88.35,107.65,5.89775080576733,17,"mid"
27,2,3,137.5,137.5,132.75,142.25,128.95,146.05,13.4350288425444,17,"mid"
29,2,3,122,122,120,124,118.4,125.6,5.65685424949238,17,"mid"
30,568,3,119.755281690141,120,117,122,113,125,3.98254218415236,17,"mid"
1,2288,4,142.314685314685,142,139,145,135,151,4.90911837187496,17,"mid"
2,30,4,103.7,104,98.5,107,95.45,113,6.56085570533348,17,"mid"
3,4,4,118.75,122,118.75,122,110.95,122,6.5,17,"mid"
4,208,4,144.745192307692,145,142,147,139,152,4.02377907326831,17,"mid"
5,4,4,89.5,88.5,83.5,94.5,82.3,98.1,7.93725393319377,17,"mid"
6,6,4,120.5,122,119.5,123.75,113,124.75,5.12835256198323,17,"mid"
9,2314,4,132.449870354365,133,130,134,127,138,3.31256075888163,17,"mid"
10,2320,4,128.86724137931,129,127,131,124,134,3.24805380709379,17,"mid"
11,1730,4,99.1560693641619,100,97,102,91,106,4.42035496768061,17,"mid"
12,216,4,103.097222222222,103,101,105,98,108,3.3722246699777,17,"mid"
13,16,4,96.875,96,92.75,101.25,88,108.75,6.97495519698872,17,"mid"
14,2056,4,98.4216926070039,98,95,101,91,106,4.78040365751902,17,"mid"
16,10,4,98.2,98,97.25,100.75,91.6,103,4.31534728871527,17,"mid"
17,2378,4,96.1337258200168,97,93,99,87,103,5.07426857725572,17,"mid"
18,1934,4,99.7171664943123,100,97,103,91,107,4.68391983872008,17,"mid"
19,434,4,125.405529953917,125,122,129,118,133,5.13391717966367,17,"mid"
20,1426,4,88.8969144460028,89,86,92,80,98,5.5598716647793,17,"mid"
21,2,4,102,102,97,107,93,111,14.142135623731,17,"mid"
24,1238,4,109.915185783522,110,107,112,104,116,4.0621778655711,17,"mid"
25,2092,4,138.699330783939,138,136,141,133,145,4.00190527693686,17,"mid"
26,50,4,101.18,102,97.25,105,92.35,109,5.49467274470724,17,"mid"
