"speciesid","active","dead","hunger","maturity","x_loc","y_loc","emergence","interactions","midpoint","scale","skew","midpoint.sensitivity","scale.sensitivity","skew.sensitivity","generalism","lifespan","efficacy","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","season","run","type"
23,0,0,0,0,0,0,0,9,118.482562936842,0.535435049654916,1.33617599308491,-9.03474220517779,0.00647848441149108,0.0202815361879766,1,32,0.0660703171626665,1,1,0,1,0,1,0,1,0,1,1,0,0,0,0,0,1,0,1,0,-1,14,"midscaleskew"
24,0,0,0,0,0,0,0,14,91.3986841449514,-0.444732051738538,1.93803219730034,-6.37625374415417,-0.00462909208494239,0.0127587805013172,1,39,0.039596961857751,1,1,0,1,1,1,0,1,1,1,0,1,1,1,1,0,0,1,0,1,-1,14,"midscaleskew"
25,0,0,0,0,0,0,0,14,134.655614979565,-0.50575880643446,1.47196571389213,-7.84578159771233,-0.00443899183068425,0.0355189980217256,1,36,0.0421621118951589,0,0,0,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,0,-1,14,"midscaleskew"
1,0,0,0,0,5,38,126,3,125.193991446868,-0.37157098443713,1.04861866123974,-8.66985763916729,-0.00379858925822191,-0.00321794352727011,0,38,0.0922936791880056,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,14,"midscaleskew"
2,0,0,0,0,16,8,113,7,107.580054667778,0.487477741297334,1.30741357104853,-7.35269030489181,-0.00383568882592954,0.00935562780126929,0,31,0.0316101322532631,1,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,1,0,0,14,"midscaleskew"
3,0,0,0,0,21,17,137,9,137.544832709245,-0.575758048938587,1.15564051852562,-11.681661129384,0.000892885653302073,0.0245115818898194,1,41,0.0500016824202612,0,1,1,1,1,0,1,0,0,0,1,1,0,0,0,1,0,1,0,0,0,14,"midscaleskew"
4,0,0,0,0,14,8,105,1,108.585403463803,-0.37540308132302,1.62953857472166,-1.71204630421152,0.00292247003410011,-0.00660876309499145,0,39,0.0903562849783339,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,14,"midscaleskew"
5,0,0,0,0,7,8,124,2,122.872989750467,-0.394468939304352,1.05574540467933,-13.3967640194025,-0.00079146447707899,0.0144018655735999,0,42,0.086097678609658,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,14,"midscaleskew"
6,0,0,0,0,40,23,89,5,93.1675662053749,-0.391689452296123,1.82668156479485,-1.66153973473639,0.00925529357278719,-0.0050824708910659,0,40,0.0296275352570228,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,1,0,0,14,"midscaleskew"
7,0,0,0,0,9,17,138,17,132.460059276782,0.427537489263341,1.0714512122795,-11.1522471900878,-0.0043053707818035,0.0121439570654184,1,40,0.0714597918232903,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,14,"midscaleskew"
8,0,0,0,0,25,38,123,6,118.489654418081,0.576521203201264,1.97721540043131,-4.45498060453491,-0.00385691064526327,0.0286945095844567,1,33,0.0645710384519771,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,14,"midscaleskew"
9,0,0,0,0,37,14,139,4,144.345482094213,-0.490372726670466,1.39867805922404,2.47599071597099,-0.00239381609018892,0.00208380145253614,0,35,0.0201448146766052,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,14,"midscaleskew"
10,0,0,0,0,23,3,147,1,147.171625164337,0.359792516171001,1.30540132918395,-1.96386873969757,0.00713402848690748,0.028589380250778,0,37,0.0932539651473053,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,14,"midscaleskew"
11,0,0,0,0,34,4,110,11,106.700596064329,-0.598708203085698,1.72552133747377,2.57157721983517,0.00838134340941906,-0.000304962976370006,1,38,0.0690514037013054,1,1,0,0,0,0,0,0,1,0,1,0,1,1,1,1,1,0,1,1,0,14,"midscaleskew"
12,0,0,0,0,32,7,97,2,100.060016331263,0.561783691355959,1.90851451200433,-16.2838725065311,-0.00273048985050991,-0.00243123783962801,0,28,0.0627398910257034,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,"midscaleskew"
13,0,0,0,0,35,-2,148,12,138.286288976669,-0.492286602593958,1.7287023817189,-7.10340114732816,-0.00132284254184924,0.0334796649962664,1,26,0.0206371611519717,0,0,0,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0,1,1,0,14,"midscaleskew"
14,0,0,0,0,9,20,109,1,110.146706392989,-0.473483757209033,1.22500109602697,-6.77408900483065,-0.00133957975660451,0.0374228778737597,0,41,0.065515669551678,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,14,"midscaleskew"
15,0,0,0,0,2,27,113,12,114.829317047261,-0.370696102967486,1.90088030812331,1.64730106064502,-0.00034252604120411,-0.00971819212660193,1,34,0.0979905875772238,1,1,0,0,1,0,1,1,1,1,0,0,0,1,1,1,0,1,1,0,0,14,"midscaleskew"
16,0,0,0,0,10,28,130,8,134.997268617153,-0.491138805868104,1.24587246938609,0.571122920958143,0.00540640152874403,0.0273086761217564,0,33,0.0355418897862546,1,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,1,1,0,1,0,14,"midscaleskew"
17,0,0,0,0,22,27,98,7,102.151911193505,-0.325983696151525,1.6814809453208,-11.7416172812211,-0.00127903409185819,0.0127968919323757,0,43,0.097587303055916,0,0,1,0,1,1,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,14,"midscaleskew"
18,0,0,0,0,34,32,118,7,111.100889579393,0.40253373188898,1.03360472642817,-16.9724077030296,0.00707567291567102,0.00720849446719512,0,41,0.0469874242693186,0,0,1,0,1,0,0,0,1,1,0,1,0,0,1,0,0,0,0,1,0,14,"midscaleskew"
19,0,0,0,0,21,15,114,2,110.580219794065,0.353879194543697,1.85931888059713,8.94781377431089,0.00781764658400789,0.0325477506942116,0,37,0.0536382537987083,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,14,"midscaleskew"
20,0,0,0,0,13,29,145,5,139.074361687526,-0.372211481421255,1.52209565555677,0.212542513534463,0.00840776768396609,0.0121163283800706,1,38,0.0198687592730857,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,14,"midscaleskew"
21,0,0,0,0,13,4,92,17,93.6947320355102,0.458813202800229,1.49073495855555,-10.2750862739432,0.00452032946399413,0.0300010509300046,1,25,0.0760347166541032,0,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,14,"midscaleskew"
22,0,0,0,0,23,7,108,3,128.494390030392,0.327045677206479,1.9069718264509,-2.96240927740169,-0.000901925419457257,0.0207926969137043,0,23,0.0570088761486113,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,14,"midscaleskew"
23,0,0,0,0,35,36,120,9,118.482562936842,0.535435049654916,1.33617599308491,-9.03474220517779,0.00647848441149108,0.0202815361879766,1,32,0.0660703171626665,1,1,0,1,0,1,0,1,0,1,1,0,0,0,0,0,1,0,1,0,0,14,"midscaleskew"
24,0,0,0,0,8,-1,87,14,91.3986841449514,-0.444732051738538,1.93803219730034,-6.37625374415417,-0.00462909208494239,0.0127587805013172,1,39,0.039596961857751,1,1,0,1,1,1,0,1,1,1,0,1,1,1,1,0,0,1,0,1,0,14,"midscaleskew"
25,0,0,0,0,31,33,135,14,134.655614979565,-0.50575880643446,1.47196571389213,-7.84578159771233,-0.00443899183068425,0.0355189980217256,1,36,0.0421621118951589,0,0,0,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,0,0,14,"midscaleskew"
21,0,0,0,0,33,34,92,17,93.6947320355102,0.458813202800229,1.49073495855555,-10.2750862739432,0.00452032946399413,0.0300010509300046,1,25,0.0760347166541032,0,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,14,"midscaleskew"
22,0,0,0,0,12,28,129,3,128.494390030392,0.327045677206479,1.9069718264509,-2.96240927740169,-0.000901925419457257,0.0207926969137043,0,23,0.0570088761486113,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,14,"midscaleskew"
12,0,0,0,0,39,12,98,2,100.060016331263,0.561783691355959,1.90851451200433,-16.2838725065311,-0.00273048985050991,-0.00243123783962801,0,28,0.0627398910257034,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14,"midscaleskew"
6,0,0,0,0,26,10,99,5,93.1675662053749,-0.391689452296123,1.82668156479485,-1.66153973473639,0.00925529357278719,-0.0050824708910659,0,40,0.0296275352570228,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,1,0,1,14,"midscaleskew"
24,0,0,0,0,12,21,91,14,91.3986841449514,-0.444732051738538,1.93803219730034,-6.37625374415417,-0.00462909208494239,0.0127587805013172,1,39,0.039596961857751,1,1,0,1,1,1,0,1,1,1,0,1,1,1,1,0,0,1,0,1,1,14,"midscaleskew"
2,0,0,0,0,20,24,101,7,107.580054667778,0.487477741297334,1.30741357104853,-7.35269030489181,-0.00383568882592954,0.00935562780126929,0,31,0.0316101322532631,1,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,1,0,1,14,"midscaleskew"
19,0,0,0,0,7,34,116,2,110.580219794065,0.353879194543697,1.85931888059713,8.94781377431089,0.00781764658400789,0.0325477506942116,0,37,0.0536382537987083,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,14,"midscaleskew"
11,0,0,0,0,39,6,102,11,106.700596064329,-0.598708203085698,1.72552133747377,2.57157721983517,0.00838134340941906,-0.000304962976370006,1,38,0.0690514037013054,1,1,0,0,0,0,0,0,1,0,1,0,1,1,1,1,1,0,1,1,1,14,"midscaleskew"
17,0,0,0,0,21,17,99,7,102.151911193505,-0.325983696151525,1.6814809453208,-11.7416172812211,-0.00127903409185819,0.0127968919323757,0,43,0.097587303055916,0,0,1,0,1,1,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,14,"midscaleskew"
18,0,0,0,0,5,25,110,7,111.100889579393,0.40253373188898,1.03360472642817,-16.9724077030296,0.00707567291567102,0.00720849446719512,0,41,0.0469874242693186,0,0,1,0,1,0,0,0,1,1,0,1,0,0,1,0,0,0,0,1,1,14,"midscaleskew"
15,0,0,0,0,15,37,122,12,114.829317047261,-0.370696102967486,1.90088030812331,1.64730106064502,-0.00034252604120411,-0.00971819212660193,1,34,0.0979905875772238,1,1,0,0,1,0,1,1,1,1,0,0,0,1,1,1,0,1,1,0,1,14,"midscaleskew"
8,0,0,0,0,33,38,117,6,118.489654418081,0.576521203201264,1.97721540043131,-4.45498060453491,-0.00385691064526327,0.0286945095844567,1,33,0.0645710384519771,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,14,"midscaleskew"
23,0,0,0,0,31,16,116,9,118.482562936842,0.535435049654916,1.33617599308491,-9.03474220517779,0.00647848441149108,0.0202815361879766,1,32,0.0660703171626665,1,1,0,1,0,1,0,1,0,1,1,0,0,0,0,0,1,0,1,0,1,14,"midscaleskew"
4,0,0,0,0,30,37,108,1,108.585403463803,-0.37540308132302,1.62953857472166,-1.71204630421152,0.00292247003410011,-0.00660876309499145,0,39,0.0903562849783339,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,14,"midscaleskew"
14,0,0,0,0,32,39,110,1,110.146706392989,-0.473483757209033,1.22500109602697,-6.77408900483065,-0.00133957975660451,0.0374228778737597,0,41,0.065515669551678,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,14,"midscaleskew"
1,0,0,0,0,37,2,122,3,125.193991446868,-0.37157098443713,1.04861866123974,-8.66985763916729,-0.00379858925822191,-0.00321794352727011,0,38,0.0922936791880056,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,14,"midscaleskew"
13,0,0,0,0,15,17,138,12,138.286288976669,-0.492286602593958,1.7287023817189,-7.10340114732816,-0.00132284254184924,0.0334796649962664,1,26,0.0206371611519717,0,0,0,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0,1,1,1,14,"midscaleskew"
7,0,0,0,0,4,34,129,17,132.460059276782,0.427537489263341,1.0714512122795,-11.1522471900878,-0.0043053707818035,0.0121439570654184,1,40,0.0714597918232903,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,14,"midscaleskew"
5,0,0,0,0,9,24,119,2,122.872989750467,-0.394468939304352,1.05574540467933,-13.3967640194025,-0.00079146447707899,0.0144018655735999,0,42,0.086097678609658,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,14,"midscaleskew"
16,0,0,0,0,35,15,133,8,134.997268617153,-0.491138805868104,1.24587246938609,0.571122920958143,0.00540640152874403,0.0273086761217564,0,33,0.0355418897862546,1,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,1,1,0,1,1,14,"midscaleskew"
25,0,0,0,0,4,17,136,14,134.655614979565,-0.50575880643446,1.47196571389213,-7.84578159771233,-0.00443899183068425,0.0355189980217256,1,36,0.0421621118951589,0,0,0,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,0,1,14,"midscaleskew"
3,0,0,0,0,23,27,144,9,137.544832709245,-0.575758048938587,1.15564051852562,-11.681661129384,0.000892885653302073,0.0245115818898194,1,41,0.0500016824202612,0,1,1,1,1,0,1,0,0,0,1,1,0,0,0,1,0,1,0,0,1,14,"midscaleskew"
20,0,0,0,0,18,28,145,5,139.074361687526,-0.372211481421255,1.52209565555677,0.212542513534463,0.00840776768396609,0.0121163283800706,1,38,0.0198687592730857,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,14,"midscaleskew"
10,0,0,0,0,10,14,148,1,147.171625164337,0.359792516171001,1.30540132918395,-1.96386873969757,0.00713402848690748,0.028589380250778,0,37,0.0932539651473053,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,14,"midscaleskew"
9,0,0,0,0,5,29,153,4,144.345482094213,-0.490372726670466,1.39867805922404,2.47599071597099,-0.00239381609018892,0.00208380145253614,0,35,0.0201448146766052,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,14,"midscaleskew"
21,0,0,0,0,3,29,91,17,93.6947320355102,0.458813202800229,1.49073495855555,-10.2750862739432,0.00452032946399413,0.0300010509300046,1,25,0.0760347166541032,0,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,2,14,"midscaleskew"
22,0,0,0,0,2,11,129,3,128.494390030392,0.327045677206479,1.9069718264509,-2.96240927740169,-0.000901925419457257,0.0207926969137043,0,23,0.0570088761486113,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2,14,"midscaleskew"
12,0,0,0,0,38,33,96,2,100.060016331263,0.561783691355959,1.90851451200433,-16.2838725065311,-0.00273048985050991,-0.00243123783962801,0,28,0.0627398910257034,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,14,"midscaleskew"
24,0,0,0,0,5,30,100,14,91.3986841449514,-0.444732051738538,1.93803219730034,-6.37625374415417,-0.00462909208494239,0.0127587805013172,1,39,0.039596961857751,1,1,0,1,1,1,0,1,1,1,0,1,1,1,1,0,0,1,0,1,2,14,"midscaleskew"
2,0,0,0,0,33,12,109,7,107.580054667778,0.487477741297334,1.30741357104853,-7.35269030489181,-0.00383568882592954,0.00935562780126929,0,31,0.0316101322532631,1,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,1,0,2,14,"midscaleskew"
6,0,0,0,0,16,28,102,5,93.1675662053749,-0.391689452296123,1.82668156479485,-1.66153973473639,0.00925529357278719,-0.0050824708910659,0,40,0.0296275352570228,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,1,0,2,14,"midscaleskew"
19,0,0,0,0,9,21,93,2,110.580219794065,0.353879194543697,1.85931888059713,8.94781377431089,0.00781764658400789,0.0325477506942116,0,37,0.0536382537987083,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,14,"midscaleskew"
15,0,0,0,0,1,34,129,12,114.829317047261,-0.370696102967486,1.90088030812331,1.64730106064502,-0.00034252604120411,-0.00971819212660193,1,34,0.0979905875772238,1,1,0,0,1,0,1,1,1,1,0,0,0,1,1,1,0,1,1,0,2,14,"midscaleskew"
23,0,0,0,0,44,20,120,9,118.482562936842,0.535435049654916,1.33617599308491,-9.03474220517779,0.00647848441149108,0.0202815361879766,1,32,0.0660703171626665,1,1,0,1,0,1,0,1,0,1,1,0,0,0,0,0,1,0,1,0,2,14,"midscaleskew"
8,0,0,0,0,32,-1,119,6,118.489654418081,0.576521203201264,1.97721540043131,-4.45498060453491,-0.00385691064526327,0.0286945095844567,1,33,0.0645710384519771,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,2,14,"midscaleskew"
17,0,0,0,0,7,24,113,7,102.151911193505,-0.325983696151525,1.6814809453208,-11.7416172812211,-0.00127903409185819,0.0127968919323757,0,43,0.097587303055916,0,0,1,0,1,1,1,0,0,0,0,0,1,0,1,0,0,1,0,0,2,14,"midscaleskew"
11,0,0,0,0,8,21,109,11,106.700596064329,-0.598708203085698,1.72552133747377,2.57157721983517,0.00838134340941906,-0.000304962976370006,1,38,0.0690514037013054,1,1,0,0,0,0,0,0,1,0,1,0,1,1,1,1,1,0,1,1,2,14,"midscaleskew"
18,0,0,0,0,29,37,109,7,111.100889579393,0.40253373188898,1.03360472642817,-16.9724077030296,0.00707567291567102,0.00720849446719512,0,41,0.0469874242693186,0,0,1,0,1,0,0,0,1,1,0,1,0,0,1,0,0,0,0,1,2,14,"midscaleskew"
4,0,0,0,0,38,34,132,1,108.585403463803,-0.37540308132302,1.62953857472166,-1.71204630421152,0.00292247003410011,-0.00660876309499145,0,39,0.0903562849783339,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,14,"midscaleskew"
1,0,0,0,0,8,9,121,3,125.193991446868,-0.37157098443713,1.04861866123974,-8.66985763916729,-0.00379858925822191,-0.00321794352727011,0,38,0.0922936791880056,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,2,14,"midscaleskew"
7,0,0,0,0,42,15,130,17,132.460059276782,0.427537489263341,1.0714512122795,-11.1522471900878,-0.0043053707818035,0.0121439570654184,1,40,0.0714597918232903,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,2,14,"midscaleskew"
13,0,0,0,0,-1,4,139,12,138.286288976669,-0.492286602593958,1.7287023817189,-7.10340114732816,-0.00132284254184924,0.0334796649962664,1,26,0.0206371611519717,0,0,0,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0,1,1,2,14,"midscaleskew"
16,0,0,0,0,30,14,134,8,134.997268617153,-0.491138805868104,1.24587246938609,0.571122920958143,0.00540640152874403,0.0273086761217564,0,33,0.0355418897862546,1,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,1,1,0,1,2,14,"midscaleskew"
25,0,0,0,0,34,20,138,14,134.655614979565,-0.50575880643446,1.47196571389213,-7.84578159771233,-0.00443899183068425,0.0355189980217256,1,36,0.0421621118951589,0,0,0,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,0,2,14,"midscaleskew"
3,0,0,0,0,8,10,137,9,137.544832709245,-0.575758048938587,1.15564051852562,-11.681661129384,0.000892885653302073,0.0245115818898194,1,41,0.0500016824202612,0,1,1,1,1,0,1,0,0,0,1,1,0,0,0,1,0,1,0,0,2,14,"midscaleskew"
20,0,0,0,0,8,6,142,5,139.074361687526,-0.372211481421255,1.52209565555677,0.212542513534463,0.00840776768396609,0.0121163283800706,1,38,0.0198687592730857,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,2,14,"midscaleskew"
9,0,0,0,0,23,25,139,4,144.345482094213,-0.490372726670466,1.39867805922404,2.47599071597099,-0.00239381609018892,0.00208380145253614,0,35,0.0201448146766052,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2,14,"midscaleskew"
10,0,0,0,0,1,24,145,1,147.171625164337,0.359792516171001,1.30540132918395,-1.96386873969757,0.00713402848690748,0.028589380250778,0,37,0.0932539651473053,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,14,"midscaleskew"
21,0,0,0,0,41,23,91,17,93.6947320355102,0.458813202800229,1.49073495855555,-10.2750862739432,0.00452032946399413,0.0300010509300046,1,25,0.0760347166541032,0,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,3,14,"midscaleskew"
12,0,0,0,0,3,32,98,2,100.060016331263,0.561783691355959,1.90851451200433,-16.2838725065311,-0.00273048985050991,-0.00243123783962801,0,28,0.0627398910257034,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,14,"midscaleskew"
24,0,0,0,0,12,4,97,14,91.3986841449514,-0.444732051738538,1.93803219730034,-6.37625374415417,-0.00462909208494239,0.0127587805013172,1,39,0.039596961857751,1,1,0,1,1,1,0,1,1,1,0,1,1,1,1,0,0,1,0,1,3,14,"midscaleskew"
