"speciesid","population","season","mean.emergence","median.emergence","q1","q3","first","last","sd","run","type"
1,150,-1,0,0,0,0,0,0,0,8,"midskew"
2,150,-1,0,0,0,0,0,0,0,8,"midskew"
3,150,-1,0,0,0,0,0,0,0,8,"midskew"
4,150,-1,0,0,0,0,0,0,0,8,"midskew"
5,150,-1,0,0,0,0,0,0,0,8,"midskew"
6,150,-1,0,0,0,0,0,0,0,8,"midskew"
7,150,-1,0,0,0,0,0,0,0,8,"midskew"
8,150,-1,0,0,0,0,0,0,0,8,"midskew"
9,150,-1,0,0,0,0,0,0,0,8,"midskew"
10,150,-1,0,0,0,0,0,0,0,8,"midskew"
11,150,-1,0,0,0,0,0,0,0,8,"midskew"
12,150,-1,0,0,0,0,0,0,0,8,"midskew"
13,150,-1,0,0,0,0,0,0,0,8,"midskew"
14,150,-1,0,0,0,0,0,0,0,8,"midskew"
15,150,-1,0,0,0,0,0,0,0,8,"midskew"
16,150,-1,0,0,0,0,0,0,0,8,"midskew"
17,150,-1,0,0,0,0,0,0,0,8,"midskew"
18,150,-1,0,0,0,0,0,0,0,8,"midskew"
19,150,-1,0,0,0,0,0,0,0,8,"midskew"
20,150,-1,0,0,0,0,0,0,0,8,"midskew"
21,150,-1,0,0,0,0,0,0,0,8,"midskew"
22,150,-1,0,0,0,0,0,0,0,8,"midskew"
23,150,-1,0,0,0,0,0,0,0,8,"midskew"
24,150,-1,0,0,0,0,0,0,0,8,"midskew"
25,150,-1,0,0,0,0,0,0,0,8,"midskew"
1,150,0,96.34,96,93,99,88,104,4.97622535582406,8,"midskew"
2,150,0,137.366666666667,137,133,141,127,150,6.82908964096861,8,"midskew"
3,150,0,95.8,95,93,98,89,105.55,5.25714598357488,8,"midskew"
4,150,0,87.9,88,85,92,76.9,97,5.97281312651713,8,"midskew"
5,150,0,112.193333333333,112,110,114,106.45,118,4.04288531870788,8,"midskew"
6,150,0,100.266666666667,100,98,103,94,106,4.22943769037135,8,"midskew"
7,150,0,144.68,145.5,142,149,133,154,6.65982646850532,8,"midskew"
8,150,0,118.5,119,114,123,106,130.55,7.5447212534292,8,"midskew"
9,150,0,130.506666666667,131,128,133.75,122,137,4.86426038394061,8,"midskew"
10,150,0,131.233333333333,131,129,133,127,136,3.27573275099304,8,"midskew"
11,150,0,123.126666666667,123,121,125,117,130,3.63298953692293,8,"midskew"
12,150,0,141.793333333333,142.5,139,145,135,149,5.21394190192023,8,"midskew"
