"speciesid","active","dead","pollinated","maturity","x_loc","y_loc","emergence","interactions","midpoint","scale","skew","midpoint.sensitivity","scale.sensitivity","skew.sensitivity","generalism","lifespan","seedlings","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","season","run","type"
19,0,0,0,0,0,0,0,5,146.050010346808,0.491786847123876,1.56489224452525,-3.95656069512523,-0.00354961419478059,0.0281190304062329,0,35,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,-1,15,"control"
20,0,0,0,0,0,0,0,5,112.20778088551,-0.40165565838106,1.97082963236608,-2.72544442919764,0.000246223632711917,0.0363822591118515,0,34,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,-1,15,"control"
1,0,0,0,0,39,12,144,2,138.54821650777,-0.561256879591383,1.64247119287029,-7.9302548409194,-0.000527357937535272,-0.00700000089360401,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,15,"control"
2,0,0,0,0,1,11,118,4,116.244661733508,-0.423616613983177,1.21143148676492,-3.05536130416217,-0.0027765279286541,0.0319439023127779,0,33,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,"control"
3,0,0,0,0,1,35,97,15,100.004278435372,0.573339020297863,1.18048775801435,-9.34152945976229,0.00361155461985618,0.0126582962204702,1,30,0,1,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,1,0,1,0,1,1,0,1,0,15,"control"
4,0,0,0,0,26,5,109,3,109.481902895495,0.32068617423065,1.44070832105353,-0.589687436152992,-0.00233689831220545,0.0186382730468176,0,41,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,15,"control"
5,0,0,0,0,23,21,121,2,120.083985314704,-0.584600357199088,1.60128235979937,-3.98166783248529,-0.00138066070037894,0.0356461747526191,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,15,"control"
6,0,0,0,0,16,30,148,2,141.750794243999,-0.500649456284009,1.70511492155492,-6.83136490408277,0.000386210663709789,0.0389651919575408,0,32,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,15,"control"
7,0,0,0,0,22,17,83,2,91.8388086743653,0.556717017944902,1.49074752652086,-1.97091526243818,0.00259532200987451,0.00561889811418951,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,15,"control"
8,0,0,0,0,6,12,100,3,102.980764978565,-0.349112180806696,1.56181338778697,-7.70825508342696,0.00867828495102003,0.00125314916716889,0,24,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,15,"control"
9,0,0,0,0,38,10,126,3,129.42103067413,0.392476446577348,1.11726160650142,-8.8628087959887,-0.000132284824503586,0.0175903845438734,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,15,"control"
10,0,0,0,0,6,13,143,1,146.503446833231,0.557820593076758,1.88220718107186,-6.17383990075571,0.00607139972387813,0.0314139998261817,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,15,"control"
11,0,0,0,0,5,7,149,2,148.715427028947,0.478515330073424,1.62467203242704,-3.82737682434937,0.00796961231157184,0.00764316892949864,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,15,"control"
12,0,0,0,0,16,13,129,1,128.020357685164,0.4449451680528,1.90444448846392,-2.20451588709586,0.00219364202581346,-0.0085947392648086,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,"control"
13,0,0,0,0,37,39,112,4,106.365472488105,0.511946716136299,1.55078267445788,-7.64367669004377,-0.00259465041919611,0.0294234957522713,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,15,"control"
14,0,0,0,0,19,6,127,4,127.438256051391,0.568093342892826,1.44016173062846,-2.76449737052853,0.00884474054095335,-0.00252508784411475,0,29,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,15,"control"
15,0,0,0,0,11,21,103,9,98.4308258397505,0.314724488882348,1.62131577800028,-2.12563145139502,-0.00349593924591318,0.0101372312381864,1,27,0,1,0,0,1,0,0,1,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,15,"control"
16,0,0,0,0,25,24,112,16,119.458625754341,-0.431154598714784,1.16853748029098,-4.62379164917189,0.00464299836894497,0.00726967624854296,1,30,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,0,1,1,1,1,1,0,0,0,0,0,1,0,1,1,1,0,0,0,0,1,0,0,0,0,1,0,15,"control"
17,0,0,0,0,15,18,100,4,101.482168254443,-0.420502264844254,1.03597841504961,1.08835365051091,-0.00109370599035174,0.00228136416757479,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,15,"control"
18,0,0,0,0,4,37,130,2,132.200836585835,-0.572807468567043,1.08894654363394,-1.17239945201833,0.00133556541637518,0.0303772568446584,0,32,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,15,"control"
19,0,0,0,0,7,34,137,5,146.050010346808,0.491786847123876,1.56489224452525,-3.95656069512523,-0.00354961419478059,0.0281190304062329,0,35,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,15,"control"
20,0,0,0,0,20,16,106,5,112.20778088551,-0.40165565838106,1.97082963236608,-2.72544442919764,0.000246223632711917,0.0363822591118515,0,34,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,15,"control"
3,0,0,0,0,23,6,94,15,100.004278435372,0.573339020297863,1.18048775801435,-9.34152945976229,0.00361155461985618,0.0126582962204702,1,30,0,1,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,1,0,1,0,1,1,0,1,1,15,"control"
16,0,0,0,0,36,38,118,16,119.458625754341,-0.431154598714784,1.16853748029098,-4.62379164917189,0.00464299836894497,0.00726967624854296,1,30,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,0,1,1,1,1,1,0,0,0,0,0,1,0,1,1,1,0,0,0,0,1,0,0,0,0,1,1,15,"control"
15,0,0,0,0,9,34,71,9,98.4308258397505,0.314724488882348,1.62131577800028,-2.12563145139502,-0.00349593924591318,0.0101372312381864,1,27,0,1,0,0,1,0,0,1,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,15,"control"
9,0,0,0,0,28,30,119,3,129.42103067413,0.392476446577348,1.11726160650142,-8.8628087959887,-0.000132284824503586,0.0175903845438734,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,15,"control"
7,0,0,0,0,36,22,80,2,91.8388086743653,0.556717017944902,1.49074752652086,-1.97091526243818,0.00259532200987451,0.00561889811418951,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,15,"control"
19,0,0,0,0,25,23,146,5,146.050010346808,0.491786847123876,1.56489224452525,-3.95656069512523,-0.00354961419478059,0.0281190304062329,0,35,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,15,"control"
4,0,0,0,0,19,23,110,3,109.481902895495,0.32068617423065,1.44070832105353,-0.589687436152992,-0.00233689831220545,0.0186382730468176,0,41,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,15,"control"
17,0,0,0,0,33,38,105,4,101.482168254443,-0.420502264844254,1.03597841504961,1.08835365051091,-0.00109370599035174,0.00228136416757479,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,15,"control"
8,0,0,0,0,6,35,108,3,102.980764978565,-0.349112180806696,1.56181338778697,-7.70825508342696,0.00867828495102003,0.00125314916716889,0,24,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,15,"control"
13,0,0,0,0,35,24,103,4,106.365472488105,0.511946716136299,1.55078267445788,-7.64367669004377,-0.00259465041919611,0.0294234957522713,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,15,"control"
20,0,0,0,0,19,5,108,5,112.20778088551,-0.40165565838106,1.97082963236608,-2.72544442919764,0.000246223632711917,0.0363822591118515,0,34,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,15,"control"
2,0,0,0,0,8,15,115,4,116.244661733508,-0.423616613983177,1.21143148676492,-3.05536130416217,-0.0027765279286541,0.0319439023127779,0,33,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,15,"control"
5,0,0,0,0,16,27,124,2,120.083985314704,-0.584600357199088,1.60128235979937,-3.98166783248529,-0.00138066070037894,0.0356461747526191,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,15,"control"
14,0,0,0,0,9,1,126,4,127.438256051391,0.568093342892826,1.44016173062846,-2.76449737052853,0.00884474054095335,-0.00252508784411475,0,29,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,15,"control"
18,0,0,0,0,23,14,130,2,132.200836585835,-0.572807468567043,1.08894654363394,-1.17239945201833,0.00133556541637518,0.0303772568446584,0,32,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,15,"control"
1,0,0,0,0,9,26,137,2,138.54821650777,-0.561256879591383,1.64247119287029,-7.9302548409194,-0.000527357937535272,-0.00700000089360401,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,15,"control"
10,0,0,0,0,31,33,143,1,146.503446833231,0.557820593076758,1.88220718107186,-6.17383990075571,0.00607139972387813,0.0314139998261817,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,15,"control"
11,0,0,0,0,24,21,148,2,148.715427028947,0.478515330073424,1.62467203242704,-3.82737682434937,0.00796961231157184,0.00764316892949864,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,15,"control"
16,0,0,0,0,4,13,125,16,119.458625754341,-0.431154598714784,1.16853748029098,-4.62379164917189,0.00464299836894497,0.00726967624854296,1,30,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,0,1,1,1,1,1,0,0,0,0,0,1,0,1,1,1,0,0,0,0,1,0,0,0,0,1,2,15,"control"
3,0,0,0,0,10,13,104,15,100.004278435372,0.573339020297863,1.18048775801435,-9.34152945976229,0.00361155461985618,0.0126582962204702,1,30,0,1,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,1,0,1,0,1,1,0,1,2,15,"control"
