"speciesid","active","dead","hunger","maturity","x_loc","y_loc","emergence","interactions","midpoint","scale","skew","midpoint.sensitivity","scale.sensitivity","skew.sensitivity","generalism","lifespan","efficacy","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","season","run","type"
22,0,0,0,0,11,10,108,3,117.609617281705,-0.34920559565071,1.38332615373656,-12.3358854229804,0.00254912134027109,-0.000824192785657943,0,30,0.0641916752955876,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,19,"control"
23,0,0,0,0,5,39,131,4,137.090262989514,0.430520694097504,1.57569430931471,-4.34545565057162,0.00213623795076273,-0.00268028596416116,0,39,0.0655389587953687,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,19,"control"
24,0,0,0,0,38,11,138,3,135.682289516553,0.586193071980961,1.26224820781499,-4.53223316757223,-0.00301987024839036,0.00725300734397024,0,28,0.0975654100277461,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,19,"control"
25,0,0,0,0,29,21,123,5,123.722848738544,0.386149526084773,1.07409052387811,5.50777771401762,0.00172851870767772,0.0230326087889262,1,37,0.0198421810963191,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,1,0,19,"control"
26,0,0,0,0,15,34,116,10,120.335863768123,0.370667061000131,1.61729854904115,-7.86704063787626,0.00406404508277774,0.020296990647912,1,31,0.0982490354729816,0,1,1,1,0,1,1,0,0,0,0,1,0,1,1,0,0,1,0,1,0,19,"control"
27,0,0,0,0,23,23,128,17,133.331268075854,-0.439747170405462,1.4862749488093,-10.51328639891,0.00329836440971121,0.023007343520876,1,42,0.0374955849745311,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,19,"control"
28,0,0,0,0,5,9,114,3,104.130308493041,-0.505938088987023,1.72225219965912,-16.7307793467771,-0.000961251793196425,0.0292352230031975,0,36,0.0834793525421992,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,19,"control"
29,0,0,0,0,37,20,151,6,135.595508613624,-0.42635137271136,1.75510529638268,-1.20276621536669,0.00950389773002826,0.0169564682734199,0,31,0.0970281844539568,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,19,"control"
30,0,0,0,0,23,5,119,14,128.039033333771,0.340507327043451,1.08641307242215,1.85991193453516,-0.00298192837624811,0.00784889932023362,1,31,0.0245907572517172,1,0,1,1,1,1,1,1,1,0,1,1,0,1,1,0,1,0,0,1,0,19,"control"
31,0,0,0,0,1,41,103,4,101.670527653769,0.571095356647856,1.89946915069595,-5.18627053174352,-0.00438301692251116,0.0240615800581872,0,37,0.0727998091978952,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,19,"control"
32,0,0,0,0,8,-1,134,1,134.954244992696,0.395879476564005,1.51220120792277,1.68901931215625,0.00462294613942504,0.018127963305451,0,40,0.0157809558068402,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,"control"
33,0,0,0,0,11,19,97,5,104.625907503068,0.454607425862923,1.14020262775011,-15.9425656812759,-0.0031561702513136,0.00912227440625429,0,35,0.0284176591248252,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,19,"control"
34,0,0,0,0,9,11,135,4,134.929646370001,-0.337430871231481,1.73415918834507,-4.16102839749327,-0.00430346778943203,0.0343401160300709,0,32,0.0893115654052235,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,19,"control"
35,0,0,0,0,1,12,122,2,117.902377811261,0.350182333309203,1.09449370973743,-17.1281472699265,-0.00293378985952586,0.0128139424580149,0,33,0.098995632941369,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,19,"control"
36,0,0,0,0,29,35,93,4,91.0888392431661,-0.427222960023209,1.39107504463755,-5.71171389680556,0.00735040288534947,0.00649097207700834,0,37,0.0761693045380525,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,19,"control"
37,0,0,0,0,16,18,97,2,95.9848381625488,-0.591166676161811,1.06303079356439,4.42266550807432,0.00870070832315832,0.00663638359168544,0,32,0.0735261786193587,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,19,"control"
38,0,0,0,0,34,6,145,6,146.304177604616,0.418594574485905,1.7839620381128,-11.1335557358915,0.00401564522529952,0.0079535138537176,0,42,0.0184693987155333,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,1,0,1,0,19,"control"
39,0,0,0,0,37,36,111,3,113.235778212547,0.37617831795942,1.23404941731133,-1.2261220904129,0.00362370813498273,0.00737951784161851,0,27,0.0429943435592577,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,19,"control"
40,0,0,0,0,36,11,121,2,117.164978273213,-0.544169629225507,1.60058585111983,-3.79315062662386,0.00280824030167423,0.0210843605897389,0,37,0.0110753276222385,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,19,"control"
20,0,0,0,0,26,33,86,2,90.6705660698935,-0.508894007094204,1.16779666766524,-4.83769750875287,0.00562332435860299,0.0278339221584611,0,31,0.0125572059629485,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,19,"control"
26,0,0,0,0,26,30,116,10,120.335863768123,0.370667061000131,1.61729854904115,-7.86704063787626,0.00406404508277774,0.020296990647912,1,31,0.0982490354729816,0,1,1,1,0,1,1,0,0,0,0,1,0,1,1,0,0,1,0,1,1,19,"control"
36,0,0,0,0,22,2,89,4,91.0888392431661,-0.427222960023209,1.39107504463755,-5.71171389680556,0.00735040288534947,0.00649097207700834,0,37,0.0761693045380525,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,19,"control"
37,0,0,0,0,20,36,97,2,95.9848381625488,-0.591166676161811,1.06303079356439,4.42266550807432,0.00870070832315832,0.00663638359168544,0,32,0.0735261786193587,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,19,"control"
39,0,0,0,0,16,24,111,3,113.235778212547,0.37617831795942,1.23404941731133,-1.2261220904129,0.00362370813498273,0.00737951784161851,0,27,0.0429943435592577,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,19,"control"
31,0,0,0,0,25,18,92,4,101.670527653769,0.571095356647856,1.89946915069595,-5.18627053174352,-0.00438301692251116,0.0240615800581872,0,37,0.0727998091978952,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,19,"control"
33,0,0,0,0,34,39,106,5,104.625907503068,0.454607425862923,1.14020262775011,-15.9425656812759,-0.0031561702513136,0.00912227440625429,0,35,0.0284176591248252,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,1,19,"control"
4,0,0,0,0,35,22,97,2,93.8841378455982,-0.56004841751419,1.11310181859881,-7.4803260552835,0.00308306553866714,-0.00879590288037434,0,38,0.0914849394420162,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,19,"control"
7,0,0,0,0,21,38,103,6,102.511603203602,-0.433881863602437,1.38392405188642,7.43756616291026,0.00180254556704313,0.0066497303172946,0,41,0.0805514419078827,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,1,19,"control"
16,0,0,0,0,8,11,101,2,104.304869952612,-0.508019459852949,1.55180324101821,-14.5019068423591,0.00180369394365698,0.0331314331130125,0,37,0.0131543386122212,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,19,"control"
8,0,0,0,0,32,13,129,10,121.708855004981,-0.3283911986975,1.28413282078691,-12.3617749232513,0.00880190876778215,0.0374455997813493,1,30,0.0621764518250711,0,0,0,1,1,0,1,1,0,1,0,1,0,0,1,1,0,0,1,1,1,19,"control"
22,0,0,0,0,11,37,125,3,117.609617281705,-0.34920559565071,1.38332615373656,-12.3358854229804,0.00254912134027109,-0.000824192785657943,0,30,0.0641916752955876,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,19,"control"
5,0,0,0,0,24,27,109,15,107.702780105174,-0.309971508826129,1.29491421068087,-6.04750544224255,0.00543477793806232,0.0209064871631563,1,43,0.019464504190255,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,0,1,0,1,1,1,19,"control"
28,0,0,0,0,23,10,102,3,104.130308493041,-0.505938088987023,1.72225219965912,-16.7307793467771,-0.000961251793196425,0.0292352230031975,0,36,0.0834793525421992,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,19,"control"
25,0,0,0,0,37,32,125,5,123.722848738544,0.386149526084773,1.07409052387811,5.50777771401762,0.00172851870767772,0.0230326087889262,1,37,0.0198421810963191,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,1,1,19,"control"
35,0,0,0,0,16,42,114,2,117.902377811261,0.350182333309203,1.09449370973743,-17.1281472699265,-0.00293378985952586,0.0128139424580149,0,33,0.098995632941369,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,19,"control"
30,0,0,0,0,3,26,126,14,128.039033333771,0.340507327043451,1.08641307242215,1.85991193453516,-0.00298192837624811,0.00784889932023362,1,31,0.0245907572517172,1,0,1,1,1,1,1,1,1,0,1,1,0,1,1,0,1,0,0,1,1,19,"control"
1,0,0,0,0,21,35,142,9,147.477422808297,0.309663281519897,1.70009185164236,-4.52132020391449,-0.000998098066775128,-0.00492117082700133,1,34,0.0175555267278105,0,1,1,0,0,1,1,0,1,1,0,0,0,0,0,1,1,0,1,0,1,19,"control"
10,0,0,0,0,23,9,112,5,116.290493337438,-0.40050947740674,1.88179772347212,-11.2895746851353,0.00775892433943227,0.0375441075512208,0,41,0.0761677438695915,0,0,1,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,19,"control"
40,0,0,0,0,6,35,116,2,117.164978273213,-0.544169629225507,1.60058585111983,-3.79315062662386,0.00280824030167423,0.0210843605897389,0,37,0.0110753276222385,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,19,"control"
15,0,0,0,0,3,7,127,2,126.368737136945,0.542919248272665,1.99058889085427,-11.7386949567196,-0.00356504645897076,0.000783001757226886,0,37,0.0148220547265373,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,19,"control"
29,0,0,0,0,0,17,134,6,135.595508613624,-0.42635137271136,1.75510529638268,-1.20276621536669,0.00950389773002826,0.0169564682734199,0,31,0.0970281844539568,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,1,19,"control"
34,0,0,0,0,16,5,134,4,134.929646370001,-0.337430871231481,1.73415918834507,-4.16102839749327,-0.00430346778943203,0.0343401160300709,0,32,0.0893115654052235,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,19,"control"
11,0,0,0,0,23,34,126,1,135.785310664214,0.356904468359426,1.40895685786381,0.776743700758456,-0.00365959529415704,-0.00202151102945209,0,36,0.017570012123324,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,19,"control"
